test_id	verdict	target	host_skip	evidence
test_mcp_base.py::McpIntegrationTest::test_open_session_uses_headers_signature	a	-	-	MISCLASSIFIED (sol audit, fixed): asserts which mcp SDK transport signature gets used (streamablehttp_client(url, headers=...)) -- python SDK-shape adaptation machinery, not an MCP contract the clj arm could owe
test_mcp_base.py::McpIntegrationTest::test_open_session_uses_http_client_signature	D	D-MCP-LIFECYCLE	-	no mcp concept in clj src
test_mcp_base.py::McpIntegrationTest::test_resolve_config_ignores_host_overrides	D	D-MCP-AUTH	-	no mcp concept in clj src
test_repl.py::ReplTest::test_ready_handshake_and_startup_time	row	H1.9	-	"clj repl-test/ready-is-first-frame. fragment: (is (= 2 (get ready ""protocol""))) and (is (= {""language"" ""clojure"" ""engine"" ""sci"" ""native"" true} (get ready ""runtime""))). SPLIT: the startup-TIME budget half of the oracle test has no clj assertion and is not claimed here"
test_repl.py::ReplTest::test_result_echo	row	H1.10	-	"clj repl-test/expression-result. fragment: (is (= ""2"" (get (h/one events ""result"") ""text""))) with exactly one done and (is (= ""done"" (get (last events) ""event"")))"
test_repl.py::ReplTest::test_stdout_stderr_and_direct_fd_writes	row	H1.11	-	clj repl-test/stdout-stderr-attribution. SPLIT: the direct-fd-write half has no vehicle on this arm and is accounted for by row H1.7c, not here
test_repl.py::ReplTest::test_top_level_await	a	-	-	CPython asyncio in the cell. clj declares the opposite contract: capability-test/future-is-closed-hop2-not-security
test_repl.py::ReplTest::test_background_task_persists_across_cells	a	-	-	CPython asyncio in the cell. clj declares the opposite contract: capability-test/future-is-closed-hop2-not-security
test_repl.py::ReplTest::test_output_after_done_carries_null_id	row	H1.7a	-	"declared divergence (docs/clojure-runtime.md ""Protocol slice""), batch timing: no output event arrives after the cell done -- now pinned by framing-test/no-output-event-arrives-after-its-cell-is-done (ordering, distinct from the count pinned by println-newlines-stay-in-one-stdout-event)"
test_repl.py::ReplTest::test_background_thread_and_fd_output_during_later_cell_is_null	row	H1.7b	-	no out-of-cell writer exists: clj closes the vehicle, pinned by capability-test/future-is-closed-hop2-not-security
test_repl.py::ReplTest::test_cell_own_direct_fd_write_is_null_but_arrives_before_done	row	H1.7c	-	no raw-fd or stream-object path out of a cell: pinned by capability-test/java-and-io-paths-are-closed
test_repl.py::ReplTest::test_drain_finalizes_incomplete_raw_utf8_before_done	b	H1.7c	-	the vehicle is a raw partial-utf8 byte write, which this arm has no path to at all -- capability-test/java-and-io-paths-are-closed, already accounted for by negative-contract row H1.7c. Nothing separate is owed
test_repl.py::ReplTest::test_hostile_deeply_nested_json_line_does_not_kill_reader	row	H1.19	-	"clj repl-test/a-deeply-nested-json-line-does-not-kill-the-reader. fragment: 20000 nested brackets yield ename ""ProtocolError"" with id nil, and the next execute answers ""10"". rlm.repl/start-reader! wraps handle-line in catch-Throwable, so even a parser blow-up stays a protocol error instead of ending the loop"
test_repl.py::ReplTest::test_unhashable_request_type_does_not_kill_reader	row	H1.20	-	clj repl-test/a-non-scalar-request-type-does-not-kill-the-reader. fragment: a map type and a vector type each yield a ProtocolError with id nil, and the runtime keeps serving
test_repl.py::ReplTest::test_duplicate_inflight_id_rejected_and_original_still_interruptible	row	H1.12	-	"clj repl-test/duplicate-inflight-id-rejected. fragment: the second execute on a live id yields a ProtocolError matching #""duplicate"" with id nil, and the ORIGINAL still finishes with exactly one done, status ok. SPLIT: the ""still interruptible"" half is a WELL-FORMED interrupt, which this arm drops silently -- that is D-INTERRUPT and row H1.8, not H1.6 (malformed id) and not this row"
test_repl.py::ReplTest::test_large_buffer_write_survives_short_pipe_writes	c	-	-	STAYS (c): the vehicle IS the contract -- the pipe hands back short writes and the writer must loop. Nothing available here can make the OS split a write. POINTER: the adjacent row H1.23 pins the weaker reachable observable (a megabyte stdout arrives as one whole line); this oracle contract is still owed
test_repl.py::ReplTest::test_interrupt_without_pthread_kill_cancels_awaited_cell	D	D-INTERRUPT	-	"clj rlm.repl/handle-line accepts ""interrupt"", validates a string id, and drops it — the frame is honoured, the cancellation is not Declared (not silent) in docs/clojure-runtime.md ""Protocol slice -- 구현된 것"": interrupt is ""파싱한다. 취소를 보장하지 않는다"" -- declared in prose, bound by no test."
test_repl.py::ReplTest::test_stdout_buffer_write_works_and_surfaces_as_null	row	H1.7c	-	no raw-fd or stream-object path out of a cell: sci/out is a StringWriter, no sys.stdout.buffer analogue; pinned by capability-test/java-and-io-paths-are-closed
test_repl.py::ReplTest::test_stdout_buffer_write_rejects_int	a	-	-	sys.stdout.buffer.write type contract; a CPython stream-object shape
test_repl.py::ReplTest::test_asyncio_task_output_keeps_spawning_cell_id	a	-	-	CPython asyncio in the cell. clj declares the opposite contract: capability-test/future-is-closed-hop2-not-security
test_repl.py::ReplTest::test_interrupted_await_bash_leaves_no_side_effects	D	D-INTERRUPT	-	"clj rlm.repl/handle-line accepts ""interrupt"", validates a string id, and drops it — the frame is honoured, the cancellation is not Declared (not silent) in docs/clojure-runtime.md ""Protocol slice -- 구현된 것"": interrupt is ""파싱한다. 취소를 보장하지 않는다"" -- declared in prose, bound by no test."
test_repl.py::ReplTest::test_interrupt_sync_blocking	D	D-INTERRUPT	-	"clj rlm.repl/handle-line accepts ""interrupt"", validates a string id, and drops it — the frame is honoured, the cancellation is not Declared (not silent) in docs/clojure-runtime.md ""Protocol slice -- 구현된 것"": interrupt is ""파싱한다. 취소를 보장하지 않는다"" -- declared in prose, bound by no test."
test_repl.py::ReplTest::test_interrupt_survives_cell_rebinding_sigint	D	D-INTERRUPT	-	"clj rlm.repl/handle-line accepts ""interrupt"", validates a string id, and drops it — the frame is honoured, the cancellation is not Declared (not silent) in docs/clojure-runtime.md ""Protocol slice -- 구현된 것"": interrupt is ""파싱한다. 취소를 보장하지 않는다"" -- declared in prose, bound by no test."
test_repl.py::ReplTest::test_interrupt_await_suspended	D	D-INTERRUPT	-	"clj rlm.repl/handle-line accepts ""interrupt"", validates a string id, and drops it — the frame is honoured, the cancellation is not Declared (not silent) in docs/clojure-runtime.md ""Protocol slice -- 구현된 것"": interrupt is ""파싱한다. 취소를 보장하지 않는다"" -- declared in prose, bound by no test."
test_repl.py::ReplTest::test_interrupt_sync_blocked_in_selectors	D	D-INTERRUPT	-	"clj rlm.repl/handle-line accepts ""interrupt"", validates a string id, and drops it — the frame is honoured, the cancellation is not Declared (not silent) in docs/clojure-runtime.md ""Protocol slice -- 구현된 것"": interrupt is ""파싱한다. 취소를 보장하지 않는다"" -- declared in prose, bound by no test."
test_repl.py::ReplTest::test_interrupt_await_with_loop_hogging_background_task	D	D-INTERRUPT	-	"clj rlm.repl/handle-line accepts ""interrupt"", validates a string id, and drops it — the frame is honoured, the cancellation is not Declared (not silent) in docs/clojure-runtime.md ""Protocol slice -- 구현된 것"": interrupt is ""파싱한다. 취소를 보장하지 않는다"" -- declared in prose, bound by no test."
test_repl.py::ReplTest::test_interrupt_written_back_to_back_with_execute	D	D-INTERRUPT	-	"clj rlm.repl/handle-line accepts ""interrupt"", validates a string id, and drops it — the frame is honoured, the cancellation is not Declared (not silent) in docs/clojure-runtime.md ""Protocol slice -- 구현된 것"": interrupt is ""파싱한다. 취소를 보장하지 않는다"" -- declared in prose, bound by no test."
test_repl.py::ReplTest::test_stale_target_from_finished_interrupt_ignores_later_sigint_on_reused_id	D	D-INTERRUPT	-	"clj rlm.repl/handle-line accepts ""interrupt"", validates a string id, and drops it — the frame is honoured, the cancellation is not Declared (not silent) in docs/clojure-runtime.md ""Protocol slice -- 구현된 것"": interrupt is ""파싱한다. 취소를 보장하지 않는다"" -- declared in prose, bound by no test."
test_repl.py::ReplTest::test_interrupt_during_slow_repr_cancels_finishing_request	D	D-INTERRUPT	-	"clj rlm.repl/handle-line accepts ""interrupt"", validates a string id, and drops it — the frame is honoured, the cancellation is not Declared (not silent) in docs/clojure-runtime.md ""Protocol slice -- 구현된 것"": interrupt is ""파싱한다. 취소를 보장하지 않는다"" -- declared in prose, bound by no test."
test_repl.py::ReplTest::test_traceback_clean_with_source_line	c	-	-	"STAYS (c), and its kind differs from the rest: docs/clojure-runtime.md marks the `error` event OPEN (""ename is the SCI wrapper class, traceback carries runtime frames""), and clj h/error-shape? deliberately does not pin contents. OPEN BY CONTRACT -- this one closes by a DECISION, not by a measurement. Do not spend a turn measuring it"
test_repl.py::ReplTest::test_syntax_error	row	H1.13	-	"clj repl-test/error-then-next-execute-works, the ""reader error"" branch. fragment: (h/execute repl ""syn"" ""(+ 1"") yields an error of oracle shape with done status ""error"""
test_repl.py::ReplTest::test_snapshot_restore_roundtrip	a	H1.3b	-	python state ops (list_names/snapshot/restore). AGENTS.md Hard Rule 11 keeps them python-only, and row H1.3b pins with a kill receipt that the host mints no state-op frame for clojure — the exclusion is enforced, not merely asserted
test_repl.py::ReplTest::test_restore_skips_ipython_injected_names	a	H1.3b	-	python state ops (list_names/snapshot/restore). AGENTS.md Hard Rule 11 keeps them python-only, and row H1.3b pins with a kill receipt that the host mints no state-op frame for clojure — the exclusion is enforced, not merely asserted
test_repl.py::ReplTest::test_snapshot_prune_oversized	a	H1.3b	-	python state ops (list_names/snapshot/restore). AGENTS.md Hard Rule 11 keeps them python-only, and row H1.3b pins with a kill receipt that the host mints no state-op frame for clojure — the exclusion is enforced, not merely asserted
test_repl.py::ReplTest::test_emit_display	D	D-DISPLAY	-	python emit()/display channel (rlm/__init__ emit). clj sci/init exposes no display or emit binding
test_repl.py::ReplTest::test_emit_nan_payload_errors_in_cell_and_keeps_framing	D	D-DISPLAY	-	python emit()/display channel (rlm/__init__ emit). clj sci/init exposes no display or emit binding
test_repl.py::ReplTest::test_bash_integration	row	H4.2	-	"clj process-test/start-poll-tail-follow-one-command. fragment: (is (= :exited (:status snap))) with exit-code 3 and (is (= ""hello-h4"" (eval-edn repl ""s2"" ""(process-tail h)"")))"
test_repl.py::ReplTest::test_protocol_framing_under_noise	row	H1.4a	-	the oracle twin of H1.4a: the protocol fd stays clean while the cell writes noise. clj side now green -- framing-test/every-protocol-line-is-one-complete-json-object, asserted as a post-check over raw lines so a tear names its line instead of dying in a parse error
test_repl.py::ReplTest::test_malformed_request_line	row	H1.14	-	"clj repl-test/malformed-json-keeps-serving and protocol-error-non-object-json. fragment: a raw ""{not json"" line yields event ""error"", ename ""ProtocolError"", id nil, and the next execute answers ""16"""
test_repl.py::ReplTest::test_list_names	a	H1.3b	-	python state ops (list_names/snapshot/restore). AGENTS.md Hard Rule 11 keeps them python-only, and row H1.3b pins with a kill receipt that the host mints no state-op frame for clojure — the exclusion is enforced, not merely asserted
test_repl.py::ReplTest::test_list_names_skips_non_string_keys	a	H1.3b	-	python state ops (list_names/snapshot/restore). AGENTS.md Hard Rule 11 keeps them python-only, and row H1.3b pins with a kill receipt that the host mints no state-op frame for clojure — the exclusion is enforced, not merely asserted
test_repl.py::ReplTest::test_host_request_round_trip	row	H1.15	-	clj host-bridge-test/host-request-reply-bypasses-fifo and host-request-reply-is-keyword-nested-map
test_repl.py::ReplTest::test_host_reply_for_unknown_id_dropped	row	H1.5a	-	"clj host-bridge-test/host-reply-unknown-id-dropped is green: an unknown-id host_reply is dropped and the very next execute still answers -- fragment (is (= ""16"" (get (h/one events ""result"") ""text"")))"
test_repl.py::ReplTest::test_host_request_cancelled_cell_drops_pending_future	D	D-INTERRUPT	-	"clj rlm.repl/handle-line accepts ""interrupt"", validates a string id, and drops it — the frame is honoured, the cancellation is not Declared (not silent) in docs/clojure-runtime.md ""Protocol slice -- 구현된 것"": interrupt is ""파싱한다. 취소를 보장하지 않는다"" -- declared in prose, bound by no test."
test_repl.py::ReplTest::test_display_from_detached_task_keeps_cell_id	D	D-DISPLAY	-	python emit()/display channel (rlm/__init__ emit). clj sci/init exposes no display or emit binding
test_repl.py::ReplTest::test_shutdown_clean_exit	row	H1.16	-	clj host-bridge-test/shutdown-clean-exit
test_repl.py::ReplTest::test_shutdown_after_mcp_import_exits_cleanly	b	test_repl.py::ReplTest::test_shutdown_clean_exit	-	MISCLASSIFIED (sol audit, fixed): the observable is generic shutdown cleanliness with an mcp import as the accidental vehicle; clj already has host-bridge-test/shutdown-clean-exit. Accounted for by the named sibling entry, so it is not separate MCP-lifecycle denominator
test_repl.py::ReplTest::test_stdin_eof_with_pending_host_request_exits	row	H1.17	-	clj host-bridge-test/stdin-eof-with-pending-host-exits
test_repl.py::ReplTest::test_shutdown_with_pending_host_request_exits	row	H1.5b	-	"clj host-bridge-test/shutdown-fails-pending-host is green: the pending cell ends ""host connection closed"" with done status ""error"", shutdown own done is ""ok"", process exits 0"
test_repl.py::ReplTest::test_interrupt_with_non_string_id_is_protocol_error	row	H1.6	-	"clj rlm.repl/handle-line emits the identical message ""interrupt request id must be a string"" -- now pinned by repl-test/interrupt-with-non-string-id-is-a-protocol-error"
test_repl.py::ReplTest::test_snapshot_rejects_non_boolean_and_non_integer_options	a	H1.3b	-	python state ops (list_names/snapshot/restore). AGENTS.md Hard Rule 11 keeps them python-only, and row H1.3b pins with a kill receipt that the host mints no state-op frame for clojure — the exclusion is enforced, not merely asserted
test_repl.py::ReplTest::test_snapshot_rejects_identical_path_and_manifest_path	a	H1.3b	-	python state ops (list_names/snapshot/restore). AGENTS.md Hard Rule 11 keeps them python-only, and row H1.3b pins with a kill receipt that the host mints no state-op frame for clojure — the exclusion is enforced, not merely asserted
test_repl.py::ReplTest::test_exception_with_broken_str_reported_safely	row	H1.21	-	"clj repl-test/a-value-whose-printing-throws-is-reported-as-a-cell-error. The oracle breaks the exception's __str__; the nearest constructible shape here is a value that only blows up when the runtime prints it. fragment: a lazy seq that throws on realization gives exactly one done with status ""error"", and the next cell answers ""14"""
test_repl.py::ReplTest::test_snapshot_manifest_write_failure_fails_without_pruning	a	H1.3b	-	python state ops (list_names/snapshot/restore). AGENTS.md Hard Rule 11 keeps them python-only, and row H1.3b pins with a kill receipt that the host mints no state-op frame for clojure — the exclusion is enforced, not merely asserted
test_repl.py::ReplTest::test_closed_stdio_cell_still_completes_and_serves_next	c	-	-	STAYS (c): a cell cannot close stdio on this arm and no fixture can close it from outside. Reaching this fault needs a source edit, which is Pass C kill territory, not a green test
test_repl.py::ReplTest::test_compile_crash_reports_error_and_serves_next	row	H1.18	-	"clj repl-test/error-then-next-execute-works, the closing assertion -- a DIFFERENT fragment from H1.13. fragment: after both error branches, (h/execute repl ""ok"" ""(+ 40 2)"") answers normally. The row is ""the runtime serves the next request after an error"", not ""the error is reported"""
test_repl.py::ReplTest::test_rebound_stdout_without_flush_still_completes	row	H1.22	-	"clj repl-test/a-cell-cannot-redirect-its-own-output-and-says-so. MEASURED: with-out-str -- a core Clojure macro, not interop on its face -- expands to (java.io.StringWriter.) and dies in the native image with ""No matching ctor found"", i.e. docs ""코드를 읽어야만 알던 것"" 8 surfacing where a model would reach. fragment: the attempt fails as THIS cell error with no stdout event leaked, and the next cell prints normally"
test_repl.py::ReplTest::test_closed_fds_reclaimed_by_files_still_completes	a	-	-	CPython file-object/fd reclamation inside the cell; SCI closes interop (capability-test/java-and-io-paths-are-closed)
test_repl.py::ReplTest::test_restore_missing_snapshot_is_ok_with_reason	a	H1.3b	-	python state ops (list_names/snapshot/restore). AGENTS.md Hard Rule 11 keeps them python-only, and row H1.3b pins with a kill receipt that the host mints no state-op frame for clojure — the exclusion is enforced, not merely asserted
test_repl.py::FinishRequestTest::test_parked_any_survives_while_another_request_is_inflight	D	D-INTERRUPT	-	"SIGINT parking state machine; no cancellation path in clj Declared (not silent) in docs/clojure-runtime.md ""Protocol slice -- 구현된 것"": interrupt is ""파싱한다. 취소를 보장하지 않는다"" -- declared in prose, bound by no test."
test_repl.py::FinishRequestTest::test_compile_error_consumes_parked_untargeted_interrupt	D	D-INTERRUPT	-	"SIGINT parking state machine; no cancellation path in clj Declared (not silent) in docs/clojure-runtime.md ""Protocol slice -- 구현된 것"": interrupt is ""파싱한다. 취소를 보장하지 않는다"" -- declared in prose, bound by no test."
test_repl.py::FinishRequestTest::test_post_run_error_leaves_parked_interrupt_for_next_request	D	D-INTERRUPT	-	"SIGINT parking state machine; no cancellation path in clj Declared (not silent) in docs/clojure-runtime.md ""Protocol slice -- 구현된 것"": interrupt is ""파싱한다. 취소를 보장하지 않는다"" -- declared in prose, bound by no test."
test_repl.py::FinishRequestTest::test_sigint_in_post_run_guarded_window_reports_snapshot_ok	a	H1.3b	-	snapshot/restore state ops crossed with SIGINT; excluded by Hard Rule 11 and enforced by row H1.3b
test_repl.py::FinishRequestTest::test_protocol_interrupt_during_restore_commit_is_consumed_and_next_request_runs	a	H1.3b	-	snapshot/restore state ops crossed with SIGINT; excluded by Hard Rule 11 and enforced by row H1.3b
test_repl.py::FinishRequestTest::test_protocol_interrupt_after_restore_returned_before_task_done_reports_ok	a	H1.3b	-	snapshot/restore state ops crossed with SIGINT; excluded by Hard Rule 11 and enforced by row H1.3b
test_repl.py::FinishRequestTest::test_nonprotocol_keyboardinterrupt_after_committed_restore_is_not_recovered	a	H1.3b	-	snapshot/restore state ops crossed with SIGINT; excluded by Hard Rule 11 and enforced by row H1.3b
test_repl.py::FinishRequestTest::test_protocol_interrupt_after_destructive_snapshot_returned_reports_ok	a	H1.3b	-	snapshot/restore state ops crossed with SIGINT; excluded by Hard Rule 11 and enforced by row H1.3b
test_repl.py::FinishRequestTest::test_untargeted_interrupt_in_done_task_handoff_is_not_parked	D	D-INTERRUPT	-	"SIGINT parking state machine; no cancellation path in clj Declared (not silent) in docs/clojure-runtime.md ""Protocol slice -- 구현된 것"": interrupt is ""파싱한다. 취소를 보장하지 않는다"" -- declared in prose, bound by no test."
test_repl.py::SnapshotPruneShieldTest::test_sigint_mid_prune_is_consumed_after_all_deletions_ran	a	H1.3b	-	snapshot prune shield; state ops excluded, enforced by H1.3b
test_repl.py::SnapshotPruneShieldTest::test_sigint_after_manifest_commit_before_deletions_is_consumed	a	H1.3b	-	snapshot prune shield; state ops excluded, enforced by H1.3b
test_repl.py::RestoreApplyShieldTest::test_sigint_during_staging_leaves_namespace_unchanged	a	H1.3b	-	restore apply shield; state ops excluded, enforced by H1.3b
test_repl.py::RestoreApplyShieldTest::test_sigint_mid_apply_is_consumed_and_all_names_applied	a	H1.3b	-	restore apply shield; state ops excluded, enforced by H1.3b
test_repl.py::RestoreApplyShieldTest::test_sigint_after_last_apply_is_consumed	a	H1.3b	-	restore apply shield; state ops excluded, enforced by H1.3b
test_repl.py::RestoreApplyShieldTest::test_sigint_at_handler_restoration_publishes_committed_result	a	H1.3b	-	restore apply shield; state ops excluded, enforced by H1.3b
test_repl.py::RestoreApplyShieldTest::test_sigint_at_handler_restoration_with_non_default_prior_handler	a	H1.3b	-	restore apply shield; state ops excluded, enforced by H1.3b
test_repl.py::RestoreApplyShieldTest::test_handler_restored_and_no_interrupt_bleed	a	H1.3b	-	restore apply shield; state ops excluded, enforced by H1.3b
test_repl.py::SnapshotTempCleanupTest::test_keyboard_interrupt_during_payload_write_removes_temp_file	a	H1.3b	-	snapshot temp cleanup; state ops excluded, enforced by H1.3b
test_repl.py::SnapshotTempCleanupTest::test_name_deleted_by_background_thread_mid_snapshot_is_skipped	a	H1.3b	-	snapshot temp cleanup; state ops excluded, enforced by H1.3b
test_repl.py::SnapshotPairConsistencyTest::test_complete_payload_respects_aggregate_size_cap	a	H1.3b	-	snapshot manifest/payload pair consistency; state ops excluded, enforced by H1.3b
test_repl.py::SnapshotPairConsistencyTest::test_near_cap_payload_skips_tail_instead_of_failing_snapshot	a	H1.3b	-	snapshot manifest/payload pair consistency; state ops excluded, enforced by H1.3b
test_repl.py::SnapshotPairConsistencyTest::test_zero_size_cap_writes_no_empty_payload_overhead	a	H1.3b	-	snapshot manifest/payload pair consistency; state ops excluded, enforced by H1.3b
test_repl.py::SnapshotPairConsistencyTest::test_manifest_write_failure_preserves_prior_pair	a	H1.3b	-	snapshot manifest/payload pair consistency; state ops excluded, enforced by H1.3b
test_repl.py::SnapshotPairConsistencyTest::test_payload_replace_failure_preserves_prior_pair	a	H1.3b	-	snapshot manifest/payload pair consistency; state ops excluded, enforced by H1.3b
test_repl.py::SnapshotPairConsistencyTest::test_payload_write_failure_returns_error_dict_and_cleans_temp	a	H1.3b	-	snapshot manifest/payload pair consistency; state ops excluded, enforced by H1.3b
test_repl.py::SnapshotPairConsistencyTest::test_keyboard_interrupt_between_stages_cleans_temps	a	H1.3b	-	snapshot manifest/payload pair consistency; state ops excluded, enforced by H1.3b
test_repl.py::SnapshotPairConsistencyTest::test_sigint_after_payload_replace_is_parked_and_consumed	a	H1.3b	-	snapshot manifest/payload pair consistency; state ops excluded, enforced by H1.3b
test_repl.py::SnapshotPairConsistencyTest::test_signal_install_failure_propagates_and_cleans_temps	a	H1.3b	-	snapshot manifest/payload pair consistency; state ops excluded, enforced by H1.3b
test_repl.py::SnapshotPairConsistencyTest::test_fdopen_failure_closes_raw_fd_and_removes_temp	a	H1.3b	-	snapshot manifest/payload pair consistency; state ops excluded, enforced by H1.3b
test_repl.py::SnapshotPairConsistencyTest::test_manifest_replace_failure_leaves_new_payload_old_manifest	a	H1.3b	-	snapshot manifest/payload pair consistency; state ops excluded, enforced by H1.3b
test_repl.py::SnapshotPairConsistencyTest::test_sigint_during_final_temp_cleanup_is_parked_and_consumed	a	H1.3b	-	snapshot manifest/payload pair consistency; state ops excluded, enforced by H1.3b
test_repl.py::SnapshotPairConsistencyTest::test_cleanup_failure_still_restores_sigint_handler	a	H1.3b	-	snapshot manifest/payload pair consistency; state ops excluded, enforced by H1.3b
test_repl.py::SnapshotPairConsistencyTest::test_aliased_temp_style_names_never_clobber_the_pair	a	H1.3b	-	snapshot manifest/payload pair consistency; state ops excluded, enforced by H1.3b
test_repl.py::OwnerWatchdogTest::test_owner_watchdog_exits_busy_runtime	D	D-OWNER-WATCHDOG	-	python repl.py watches the owning host pid and exits a busy runtime when the owner dies. Measured: no watchdog/ppid/owner symbol anywhere in prime-agent-runtime-clj/src; clj exits on stdin EOF only
test_repl.py::OwnerWatchdogTest::test_resolve_owner_pid_falls_back_to_ppid	D	D-OWNER-WATCHDOG	-	python repl.py watches the owning host pid and exits a busy runtime when the owner dies. Measured: no watchdog/ppid/owner symbol anywhere in prime-agent-runtime-clj/src; clj exits on stdin EOF only
test_repl.py::OwnerWatchdogTest::test_owner_watchdog_windows_waits_on_process_handle	a	-	-	Windows process-handle wait variant of the watchdog
test_subagent_registry.py::RlmSubagentRegistryTest::test_lists_parent_scoped_subagents_from_host	row	H6.1	-	"clj continuity-test/recovered-child-keys-match-the-spawn-handle -- the host registry comes back as workspace data. fragment: (is (= 1 (count children))) and (is (every? #(not (re-find #""_"" (name %))) (keys child))). Parent-scoping itself is decided host-side and is not observable on this arm; what the row pins is that the listed entries arrive whole and dash-keyed"
test_subagent_registry.py::RlmSubagentRegistryTest::test_lists_failed_subagents_from_host	row	H6.6	-	"clj continuity-test/a-failed-child-is-listed-not-filtered. fragment: a host reply carrying ""status"" ""error"" yields (is (= 1 (count children))) and (is (= ""error"" (:status child))) -- rlm-children applies no status filter"
test_subagent_registry.py::RlmSubagentRegistryTest::test_forwards_orchestrator_chosen_name_and_model_to_host	row	H2.1	-	"clj continuity-test/spawn-forwards-the-orchestrator-kwargs-to-the-host. fragment: (is (= {""model"" ""deepseek/deepseek-v4-pro"" ""name"" ""api-reviewer""} (get req ""kwargs""))) and, in a second scenario, an omitted map rides as {} rather than a missing key"
test_subagent_registry.py::RlmSubagentRegistryTest::test_finds_authenticated_models_through_host	D	D-MODEL-SEARCH	-	python RLMModel + model search verb; clj sci/init has no model-search binding
test_subagent_registry.py::RlmSubagentRegistryTest::test_rejects_invalid_model_search_input_and_response	D	D-MODEL-SEARCH	-	python RLMModel + model search verb; clj sci/init has no model-search binding
test_subagent_registry.py::RlmSubagentRegistryTest::test_deletes_subagent_by_name_through_host	row	H6.2	-	"clj continuity-test/delete-takes-an-id-or-the-handle-itself, first half. fragment: (is (= {:type ""rlm.delete_subagent"" :target ""c1""} (update-keys (:request by-id) keyword))). A bare string is forwarded verbatim -- this arm draws NO id/name distinction, which is exactly the observable the oracle reaches by another road"
test_subagent_registry.py::RlmSubagentRegistryTest::test_deletes_subagent_object_by_child_id	row	H6.3	-	"clj continuity-test/delete-takes-an-id-or-the-handle-itself, second half -- a DIFFERENT assertion from H6.2. fragment: (rlm-delete-child {:rlm-child-id ""c2""}) yields (is (= {:type ""rlm.delete_subagent"" :target ""c2""} ...)). Handle map, not bare string"
test_subagent_registry.py::RlmSubagentRegistryTest::test_rejects_invalid_delete_response_and_target	row	H6.4	-	"clj continuity-test/delete-rejects-a-targetless-map-before-reaching-the-host. fragment: (is (nil? (h/one events ""host_request""))) -- the refusal happens before any frame leaves, so the host never sees a delete"
test_subagent_registry.py::RlmSubagentRegistryTest::test_rejects_invalid_registry_payload	row	H6.5	-	"clj continuity-test/registry-failures-raise-instead-of-returning-a-hollow-map. fragment: (is (re-find #""subagents list"" (str (get err ""evalue"")))) with done status ""error"" -- a malformed ok reply raises instead of handing back a hollow map"
test_subagent_registry.py::RlmSubagentRegistryTest::test_requires_a_default_session_name	row	H6.7	-	"clj continuity-test/registry-entries-pass-through-without-a-minted-default. DIVERGENCE made observable: the oracle mints a default session_name, this arm hands over the host shape untouched. fragment: (is (nil? (:session-name child)) ""no default is minted"") with done status ok -- a missing key is neither invented nor an error"
test_winjob.py::WinJobTest::test_create_job_sets_kill_on_close	a	-	-	Windows Job Object containment via ctypes kernel32 (_winjob.py). The clj arm has no Windows build path; its containment is setsid process groups (rlm.process/setsid-path)
test_winjob.py::WinJobTest::test_create_job_failure_paths	a	-	-	Windows Job Object containment via ctypes kernel32 (_winjob.py). The clj arm has no Windows build path; its containment is setsid process groups (rlm.process/setsid-path)
test_winjob.py::WinJobTest::test_spawn_in_job_atomic_contract	a	-	-	Windows Job Object containment via ctypes kernel32 (_winjob.py). The clj arm has no Windows build path; its containment is setsid process groups (rlm.process/setsid-path)
test_winjob.py::WinJobTest::test_spawn_in_job_cleanup_on_failures	a	-	-	Windows Job Object containment via ctypes kernel32 (_winjob.py). The clj arm has no Windows build path; its containment is setsid process groups (rlm.process/setsid-path)
test_winjob.py::WinJobTest::test_spawn_in_job_sorts_environment_block	a	-	-	Windows Job Object containment via ctypes kernel32 (_winjob.py). The clj arm has no Windows build path; its containment is setsid process groups (rlm.process/setsid-path)
test_winjob.py::WinJobTest::test_spawn_in_job_open_reader_failure_closes_process_handles	a	-	-	Windows Job Object containment via ctypes kernel32 (_winjob.py). The clj arm has no Windows build path; its containment is setsid process groups (rlm.process/setsid-path)
test_winjob.py::WinJobTest::test_open_reader_osfhandle_failure_closes_handle	a	-	-	Windows Job Object containment via ctypes kernel32 (_winjob.py). The clj arm has no Windows build path; its containment is setsid process groups (rlm.process/setsid-path)
test_winjob.py::WinJobTest::test_open_reader_fdopen_failure_closes_fd_not_handle	a	-	-	Windows Job Object containment via ctypes kernel32 (_winjob.py). The clj arm has no Windows build path; its containment is setsid process groups (rlm.process/setsid-path)
test_winjob.py::WinJobTest::test_win64_abi_struct_layout	a	-	-	Windows Job Object containment via ctypes kernel32 (_winjob.py). The clj arm has no Windows build path; its containment is setsid process groups (rlm.process/setsid-path)
test_winjob.py::WinJobTest::test_job_process_resume	a	-	-	Windows Job Object containment via ctypes kernel32 (_winjob.py). The clj arm has no Windows build path; its containment is setsid process groups (rlm.process/setsid-path)
test_winjob.py::WinJobTest::test_job_process_poll_wait_kill	a	-	-	Windows Job Object containment via ctypes kernel32 (_winjob.py). The clj arm has no Windows build path; its containment is setsid process groups (rlm.process/setsid-path)
